"{","Title=The Tenderfeet","Year=1949","Rated=N/A","Released=10 Nov 1949","Season=1","Episode=9","Runtime=30 min","Genre=Western","Director=George B. Seitz Jr."," Writer=Gibson Fox (screenplay), Polly James (screenplay), Fran Striker (radio play), George W. Trendle (creator)","Actors=Clayton Moore, Jay Silverheels, Ray Bennett, Rand Brooks","Plot=A murder is pinned on two cowboys who strike it rich, until the Lone Ranger traps the real killer.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BNzU3MzU1MjU3M15BMl5BanBnXkFtZTgwMDcxMjY2MjE@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=7.2/10}]","Metascore=N/A","imdbRating=7.2","imdbVotes=27","imdbID=tt0041951","seriesID=tt0041038","Type=episode","Response=True","}"
"{","Title=Othello","Year=1950","Rated=N/A","Released=23 Apr 1950","Season=1","Episode=17","Runtime=135 min","Genre=Drama","Director=Kevin Sheldon"," Writer=William Shakespeare (play)","Actors=André Morell, Frank Birch, Stephen Murray, Joan Hopkins","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0042816","seriesID=tt0989125","Type=episode","Response=True","}"
"{","Title=The Tragedy of King Richard II","Year=1950","Rated=N/A","Released=N/A","Season=null","Episode=null","Runtime=145 min","Genre=N/A","Director=Royston Morley"," Writer=William Shakespeare (play)","Actors=Alan Wheatley, Henry Oscar, Clement McCallin, Eileen Thorndike","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0042889","seriesID=null","Type=movie","Response=True","}"
"{","Title=Coriolanus","Year=1951","Rated=N/A","Released=11 Jun 1951","Season=3","Episode=42","Runtime=60 min","Genre=Drama","Director=Paul Nickell"," Writer=William Shakespeare (play)","Actors=Sally Chamberlin, Judith Evelyn, Howard Freeman, Betty Furness","Plot=Updating of the Shakespearean play from Roman time to Fascist Italy.","Language=N/A","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BMTgzNDQwNzAyN15BMl5BanBnXkFtZTcwMTgwMDc1NQ@@._V1_SX300.jpg","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0043426","seriesID=tt0040051","Type=episode","Response=True","}"
"{","Title=Henry V (I)","Year=1951","Rated=N/A","Released=22 Apr 1951","Season=N/A","Episode=N/A","Runtime=N/A","Genre=Drama","Director=Leonard Brett, Royston Morley"," Writer=William Shakespeare (play)","Actors=Michael Atkinson, John Baker, Geoffrey Barrie, Richard Bebb","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0043631","seriesID=N/A","Type=episode","Response=True","}"
"{","Title=Julius Caesar","Year=1951","Rated=N/A","Released=25 Feb 1951","Season=2","Episode=8","Runtime=N/A","Genre=Drama","Director=Leonard Brett"," Writer=William Shakespeare (play)","Actors=Patrick Barr, Peter Bathurst, Richard Bebb, Eric Berry","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0043693","seriesID=tt0989125","Type=episode","Response=True","}"
"{","Title=The Life and Death of King John","Year=1952","Rated=N/A","Released=20 Jan 1952","Season=3","Episode=3","Runtime=N/A","Genre=Drama","Director=Stephen Harrison"," Writer=William Shakespeare (play)","Actors=Donald Wolfit, Una Venning, Judith Stott, Cavan Malone","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0043710","seriesID=tt0989125","Type=episode","Response=True","}"
"{","Title=The Three Musketeers","Year=1950","Rated=Approved","Released=24 Nov 1950","Season=N/A","Episode=N/A","Runtime=60 min","Genre=Drama","Director=Budd Boetticher"," Writer=Alexandre Dumas père (novel), Roy Hamilton (written for the screen by), Alexandre Dumas père (story)","Actors=Robert Clarke, John Hubbard, Mel Archer, Keith Richards","Plot=N/A","Language=English","Country=USA","Awards=N/A","Poster=N/A","Ratings=[Rating{Source=Internet Movie Database, Value=3.7/10}]","Metascore=N/A","imdbRating=3.7","imdbVotes=9","imdbID=tt0044093","seriesID=N/A","Type=episode","Response=True","}"
"{","Title=The Merry Wives of Windsor","Year=1952","Rated=N/A","Released=16 Nov 1952","Season=3","Episode=46","Runtime=N/A","Genre=Drama","Director=Julian Amyes"," Writer=William Shakespeare (play)","Actors=Robert Atkins, Mary Kerridge, Elizabeth Regan, Alfie Bass","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0044901","seriesID=tt0989125","Type=episode","Response=True","}"
"{","Title=As You Like It","Year=1953","Rated=N/A","Released=15 Mar 1953","Season=4","Episode=11","Runtime=N/A","Genre=Drama","Director=Peter Ebert"," Writer=William Shakespeare (play)","Actors=Margaret Leighton, Laurence Harvey, Walter Hudd, Henry Oscar","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0045519","seriesID=tt0989125","Type=episode","Response=True","}"
"{","Title=King Lear","Year=1953","Rated=N/A","Released=18 Oct 1953","Season=2","Episode=3","Runtime=75 min","Genre=Drama, History, Music","Director=Andrew McCullough"," Writer=William Shakespeare (play), Peter Brook (teleplay)","Actors=Orson Welles, Natasha Parry, Arnold Moss, Bramwell Fletcher","Plot=Based on Shakespeare's play: King Lear of Britain has decided to divide his kingdom into three parts, and to hand over the responsibilities of ruling to his three daughters. The two oldest daughters, Goneril and Regan, flatter their father insincerely, and are rewarded. Cordelia, the youngest, sincerely loves her father, but she cannot match her sisters' skill at false adulation - so Lear takes away her portion of the kingdom, despite the pleadings of some of his most loyal nobles. It is not long before Goneril and Regan reveal their deep ingratitude, and soon the old king finds himself in a confusing and desperate position.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BMzAwODY3OTc5MV5BMl5BanBnXkFtZTcwNzc5OTY1NQ@@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=6.9/10}]","Metascore=N/A","imdbRating=6.9","imdbVotes=128","imdbID=tt0045960","seriesID=tt0044284","Type=episode","Response=True","}"
